;tweetid;stance;emotion;moral;toxic;act;vad
0;1442560319163969539;believe;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];[0, 1, 0, 0, 0, 0, 0, 0, 0, 1];non_toxic;sta;[0.25975, 0.2519166666666667, 0.29641666666666666]
1;1425103339969261582;believe;[1, 0, 0, 0, 0, 0, 1, 0, 0, 0];[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;sug;[0.45884615384615385, 0.40076923076923077, 0.4577692307692308]
2;1431964107922677764;believe;[0, 0, 0, 0, 0, 1, 0, 0, 0, 0];[0, 1, 0, 0, 0, 0, 0, 1, 0, 0];non_toxic;oth;[0.4773636363636363, 0.33681818181818185, 0.4117272727272727]
3;1438445287207485445;believe;[1, 1, 0, 0, 1, 0, 1, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];non_toxic;exp;[0.8159166666666667, 0.4951666666666667, 0.5956666666666667]
4;1421839796687810564;believe;[0, 0, 0, 1, 0, 0, 0, 0, 0, 0];[0, 0, 0, 1, 0, 0, 1, 0, 0, 0];non_toxic;sug;[0.5671, 0.5781, 0.6003000000000001]
5;1445849642994855937;believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 1, 0, 0, 0, 0, 0, 1, 0, 0];non_toxic;exp;[0.553, 0.4119090909090909, 0.4518181818181819]
6;1567321152384647171;deny;[1, 0, 0, 1, 0, 1, 0, 0, 0, 1];[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.1567, 0.11400000000000002, 0.1768]
7;1432793815279017987;believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 1, 0, 1, 0, 0, 0, 0];non_toxic;exp;[0.5346923076923077, 0.3465384615384615, 0.48507692307692307]
8;1432950115757604864;ambiguous;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[1, 0, 1, 0, 0, 0, 0, 0, 0, 0];non_toxic;sta;[0.49550000000000005, 0.30000000000000004, 0.42400000000000004]
9;1435981975219757057;believe;[0, 0, 1, 0, 0, 0, 0, 0, 0, 1];[1, 0, 0, 1, 0, 0, 1, 0, 0, 0];toxic;exp;[0.36712500000000003, 0.20487499999999997, 0.2465]
10;1431229823461040137;ambiguous;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 1, 0, 1, 0, 0];non_toxic;exp;[0.7361428571428572, 0.3598571428571429, 0.6124285714285714]
11;1431631833205248000;believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 1, 0, 0, 0, 0, 0, 1, 0, 0];non_toxic;exp;[0.4920833333333334, 0.31875, 0.47333333333333333]
12;1429096945692332042;ambiguous;[0, 0, 0, 0, 0, 1, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.37062500000000004, 0.366875, 0.40337500000000004]
13;1565664080437940225;deny;[1, 0, 1, 0, 0, 1, 1, 0, 0, 1];[0, 0, 0, 0, 0, 1, 0, 0, 0, 0];non_toxic;exp;[0.27788888888888885, 0.29588888888888887, 0.2544444444444445]
14;1423171582848024576;ambiguous;[1, 0, 0, 1, 0, 1, 0, 1, 0, 0];[1, 0, 1, 0, 0, 0, 1, 0, 0, 0];non_toxic;exp;[0.4424, 0.32950000000000007, 0.41389999999999993]
15;1427411506518429700;ambiguous;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 1, 1, 0, 0, 0, 0, 0, 0, 1];non_toxic;sta;[0.34771428571428575, 0.2915714285714285, 0.3258571428571429]
16;1425536537060642816;ambiguous;[0, 0, 0, 0, 1, 0, 0, 0, 1, 0];[0, 0, 0, 0, 1, 0, 0, 1, 0, 0];non_toxic;sta;[0.40549999999999997, 0.24275000000000002, 0.3295]
17;1430977067865284611;believe;[0, 0, 0, 0, 0, 0, 0, 1, 1, 0];[1, 0, 0, 0, 0, 0, 0, 0, 1, 0];non_toxic;oth;[0.4424999999999999, 0.24892857142857147, 0.3286428571428571]
18;1443854555800813569;believe;[1, 0, 0, 0, 0, 0, 0, 1, 0, 1];[0, 0, 0, 1, 0, 0, 0, 1, 0, 0];non_toxic;exp;[0.3147857142857143, 0.421, 0.3639285714285715]
19;1422753872456650753;ambiguous;[0, 1, 0, 0, 0, 0, 0, 0, 1, 0];[0, 1, 0, 0, 0, 0, 0, 0, 0, 1];non_toxic;exp;[0.48581818181818187, 0.3609090909090909, 0.44]
20;1430445993573629959;believe;[0, 0, 0, 0, 1, 0, 0, 1, 1, 0];[0, 1, 0, 0, 0, 0, 0, 1, 0, 0];non_toxic;oth;[0.2870833333333333, 0.1384166666666667, 0.19008333333333335]
21;1444996367990939650;believe;[0, 1, 0, 0, 1, 0, 0, 0, 1, 0];[0, 0, 1, 0, 1, 0, 0, 0, 0, 0];non_toxic;oth;[0.32818181818181813, 0.2402727272727273, 0.2861818181818182]
22;1430312897054453762;ambiguous;[0, 1, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;sta;[0.6388333333333334, 0.36716666666666664, 0.4895833333333333]
23;1436706414152531975;believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 1, 0, 0, 0, 0, 0];non_toxic;que;[0.44807142857142856, 0.351, 0.408]
24;1433859759724273682;ambiguous;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[1, 0, 0, 1, 1, 0, 0, 0, 0, 0];non_toxic;oth;[0.5209999999999999, 0.3351, 0.4438]
25;1443917213791043585;believe;[1, 0, 0, 1, 0, 0, 0, 0, 0, 1];[1, 0, 0, 0, 1, 0, 0, 0, 0, 0];non_toxic;oth;[0.41154545454545455, 0.3643636363636363, 0.38127272727272726]
