;tweetid;stance;senti;target;moral;toxic;act;vad
0;1284157078555234312;FAVOR;neg;stay_at_home_orders;[0, 1, 0, 0, 0, 0, 0, 0, 0, 1];non_toxic;sug;[0.35408695652173916, 0.29060869565217395, 0.29886956521739133]
1;1244882955396206592;FAVOR;pos;stay_at_home_orders;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.4175, 0.3204285714285714, 0.3722142857142857]
2;1290631866551214080;FAVOR;neg;stay_at_home_orders;[0, 1, 0, 0, 0, 0, 0, 1, 0, 0];toxic;sta;[0.34700000000000003, 0.3352941176470589, 0.27841176470588236]
3;1289778985446957058;FAVOR;other;stay_at_home_orders;[0, 1, 0, 0, 0, 0, 0, 0, 1, 0];non_toxic;exp;[0.3768571428571429, 0.389, 0.42019047619047617]
4;1282939649510346753;FAVOR;pos;stay_at_home_orders;[0, 1, 0, 0, 0, 0, 0, 0, 0, 1];non_toxic;sta;[0.6558999999999999, 0.36249999999999993, 0.48835000000000006]
5;1283455284137123841;FAVOR;neg;stay_at_home_orders;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];toxic;exp;[0.26833333333333337, 0.33195238095238094, 0.30509523809523803]
6;1281065957163597827;FAVOR;neg;stay_at_home_orders;[0, 0, 0, 1, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.3433333333333333, 0.3902592592592593, 0.3682592592592593]
7;1280477819651239937;FAVOR;neg;stay_at_home_orders;[0, 1, 0, 1, 0, 0, 0, 0, 0, 0];toxic;exp;[0.30806666666666666, 0.2949333333333334, 0.34419999999999995]
8;1287827595795496966;FAVOR;pos;stay_at_home_orders;[0, 1, 0, 0, 0, 0, 0, 0, 0, 1];non_toxic;que;[0.48384210526315796, 0.38236842105263164, 0.4241052631578947]
9;1284304120514396160;FAVOR;neg;stay_at_home_orders;[0, 1, 0, 0, 0, 0, 0, 0, 0, 1];non_toxic;que;[0.3298461538461538, 0.29646153846153844, 0.3494615384615385]
10;1290746301009854466;FAVOR;pos;stay_at_home_orders;[0, 0, 1, 0, 0, 0, 0, 0, 1, 0];non_toxic;exp;[0.5307142857142857, 0.19957142857142854, 0.4195714285714286]
11;1272937684772679680;FAVOR;neg;stay_at_home_orders;[0, 0, 0, 0, 0, 0, 0, 1, 0, 0];toxic;oth;[0.3314242424242424, 0.3272727272727272, 0.34072727272727277]
12;1285810667728011264;FAVOR;pos;stay_at_home_orders;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;sug;[0.5472608695652174, 0.324, 0.42247826086956514]
13;1286338674968363012;FAVOR;pos;stay_at_home_orders;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.4374137931034483, 0.28482758620689663, 0.4331379310344828]
14;1286271085680500736;FAVOR;pos;stay_at_home_orders;[1, 0, 0, 0, 1, 0, 0, 0, 0, 0];non_toxic;sug;[0.508, 0.35888888888888887, 0.4285555555555556]
15;1290714344657784832;FAVOR;neg;stay_at_home_orders;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;sta;[0.3013703703703704, 0.17018518518518522, 0.23622222222222222]
16;1282761035145809921;FAVOR;neg;stay_at_home_orders;[1, 0, 0, 0, 1, 0, 0, 0, 1, 0];toxic;exp;[0.5056521739130434, 0.3823043478260869, 0.4267391304347827]
17;1282207043697274882;FAVOR;pos;stay_at_home_orders;[0, 0, 1, 0, 0, 0, 0, 0, 1, 0];non_toxic;exp;[0.4637058823529412, 0.27888235294117647, 0.359]
18;1244962763962814464;FAVOR;pos;stay_at_home_orders;[1, 0, 0, 0, 0, 0, 1, 0, 0, 0];non_toxic;oth;[0.44079999999999997, 0.31325000000000003, 0.3674]
19;1289723088133750784;FAVOR;pos;stay_at_home_orders;[0, 1, 0, 0, 0, 0, 0, 1, 0, 0];non_toxic;sug;[0.3582222222222222, 0.22644444444444448, 0.29133333333333333]
20;1288655629138132994;FAVOR;neg;stay_at_home_orders;[0, 0, 1, 0, 1, 0, 0, 0, 0, 0];toxic;sta;[0.4975, 0.31083333333333335, 0.39699999999999996]
21;1289961106446802944;FAVOR;pos;stay_at_home_orders;[1, 0, 0, 0, 0, 0, 0, 0, 1, 0];non_toxic;exp;[0.2237, 0.11220000000000001, 0.17120000000000002]
22;1282345396786925568;FAVOR;neg;stay_at_home_orders;[1, 0, 0, 0, 0, 0, 0, 0, 0, 0];toxic;exp;[0.22847368421052633, 0.30189473684210527, 0.29826315789473684]
23;1285523627086163968;FAVOR;pos;stay_at_home_orders;[0, 0, 1, 0, 0, 0, 0, 0, 1, 0];non_toxic;exp;[0.4811875, 0.2754375, 0.3861875]
24;1289353088004812800;FAVOR;neg;stay_at_home_orders;[1, 0, 1, 0, 0, 0, 1, 0, 0, 0];toxic;sta;[0.3383, 0.34740000000000004, 0.29860000000000003]
25;1281449693512232960;FAVOR;pos;stay_at_home_orders;[0, 1, 0, 0, 0, 0, 0, 1, 0, 0];non_toxic;exp;[0.426090909090909, 0.3903636363636363, 0.4736363636363637]
26;1277281196586795009;FAVOR;pos;stay_at_home_orders;[0, 0, 0, 0, 0, 0, 0, 1, 0, 0];non_toxic;sta;[0.4693333333333333, 0.30261904761904757, 0.3692380952380952]
27;1251921681263792138;AGAINST;neg;stay_at_home_orders;[0, 1, 0, 1, 0, 0, 0, 0, 0, 0];toxic;exp;[0.28040740740740744, 0.26003703703703707, 0.2577037037037037]
28;1253404169462886401;AGAINST;neg;stay_at_home_orders;[0, 1, 0, 0, 0, 1, 0, 0, 0, 0];non_toxic;que;[0.4985882352941176, 0.5825882352941176, 0.5424117647058823]
29;1282464027487227909;AGAINST;neg;stay_at_home_orders;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.38029411764705884, 0.29858823529411765, 0.3801764705882353]
30;1283024180607320066;AGAINST;other;stay_at_home_orders;[0, 0, 0, 0, 1, 0, 1, 0, 0, 0];non_toxic;sta;[0.47087500000000004, 0.2836875, 0.34275]
31;1276541094919057409;AGAINST;neg;stay_at_home_orders;[0, 0, 1, 0, 0, 0, 0, 0, 0, 0];toxic;sug;[0.2613157894736842, 0.3353157894736842, 0.3495263157894737]
32;1277791215585341440;AGAINST;neg;stay_at_home_orders;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];toxic;sta;[0.36628571428571427, 0.32399999999999995, 0.3387142857142858]
33;1283111813538893825;AGAINST;other;stay_at_home_orders;[0, 0, 0, 0, 0, 1, 0, 1, 0, 0];non_toxic;sta;[0.3652222222222222, 0.27744444444444444, 0.37166666666666665]
34;1278073807295610880;AGAINST;neg;stay_at_home_orders;[0, 0, 1, 0, 0, 1, 0, 1, 0, 0];non_toxic;sta;[0.443, 0.4466666666666667, 0.38866666666666666]
35;1282525213272543239;AGAINST;neg;stay_at_home_orders;[0, 1, 0, 1, 0, 0, 0, 0, 0, 0];toxic;sta;[0.42168181818181816, 0.5273636363636364, 0.48163636363636364]
36;1285043082266910720;AGAINST;neg;stay_at_home_orders;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;sug;[0.6001428571428572, 0.5404285714285715, 0.5897619047619047]
37;1276829888289230850;AGAINST;neg;stay_at_home_orders;[0, 1, 0, 1, 0, 0, 0, 0, 0, 0];toxic;exp;[0.15389999999999998, 0.39370000000000005, 0.2686]
38;1288760786509164544;AGAINST;neg;stay_at_home_orders;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;oth;[0.14423076923076922, 0.28400000000000003, 0.24407692307692308]
39;1287123920752128002;AGAINST;pos;stay_at_home_orders;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;sug;[0.46208695652173903, 0.42760869565217396, 0.45804347826086966]
40;1283457519084400640;AGAINST;neg;stay_at_home_orders;[0, 1, 0, 1, 0, 0, 0, 0, 0, 0];non_toxic;exp;[0.36348148148148146, 0.4291851851851852, 0.4200740740740741]
41;1280785696937172992;AGAINST;neg;stay_at_home_orders;[0, 1, 0, 0, 0, 0, 0, 0, 0, 1];toxic;sta;[0.4668333333333334, 0.3224444444444445, 0.3858333333333334]
42;1290721089434329091;AGAINST;neg;stay_at_home_orders;[0, 1, 0, 1, 0, 0, 0, 0, 0, 0];non_toxic;sta;[0.6760588235294118, 0.5281176470588235, 0.5902941176470589]
43;1287451009904672769;AGAINST;neg;stay_at_home_orders;[0, 0, 0, 1, 0, 0, 0, 0, 1, 0];toxic;exp;[0.28877777777777774, 0.32977777777777784, 0.34377777777777774]
44;1281402580342636544;AGAINST;neg;stay_at_home_orders;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];non_toxic;sug;[0.30989999999999995, 0.40465, 0.44620000000000004]
45;1287420880692359179;AGAINST;neg;stay_at_home_orders;[0, 1, 0, 1, 0, 0, 0, 0, 0, 0];non_toxic;sta;[0.5435, 0.3478333333333334, 0.4615]
46;1285758080517455873;AGAINST;neg;stay_at_home_orders;[1, 0, 1, 0, 0, 0, 0, 0, 0, 0];non_toxic;oth;[0.2985, 0.2871666666666667, 0.32066666666666666]
47;1290113918233276417;AGAINST;neg;stay_at_home_orders;[0, 1, 0, 0, 0, 0, 1, 0, 0, 0];non_toxic;sug;[0.37133333333333335, 0.327, 0.3671666666666667]
48;1286679153467686912;AGAINST;neg;stay_at_home_orders;[0, 0, 0, 1, 0, 0, 0, 1, 0, 0];non_toxic;exp;[0.37533333333333335, 0.4252222222222222, 0.4423333333333333]
49;1283713193777475584;AGAINST;neg;stay_at_home_orders;[0, 0, 0, 0, 0, 0, 0, 0, 0, 1];non_toxic;exp;[0.43943750000000004, 0.30075, 0.3015]
50;1284143947594346499;AGAINST;neg;stay_at_home_orders;[1, 0, 0, 0, 0, 0, 0, 0, 1, 0];non_toxic;sta;[0.3438695652173913, 0.4437391304347826, 0.46991304347826085]
51;1286984569762328576;AGAINST;neg;stay_at_home_orders;[0, 1, 0, 1, 0, 0, 0, 0, 0, 0];non_toxic;sug;[0.5218260869565217, 0.45313043478260867, 0.5315652173913044]
