"";"tweetid";"stance";"topic";"moral";"toxic";"act";"vad"
"0";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]";"non_toxic";"sug";"[0.13703125, 0.086, 0.12153125]"
"1";"1080184926065049600_test";"AGAINST";"Bernie Sanders";"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]";"non_toxic";"sta";"[0.09084848484848483, 0.112, 0.10054545454545455]"
"2";"N/A_test";"AGAINST";"Bernie Sanders";"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"oth";"[0.24107692307692305, 0.16592307692307692, 0.22946153846153847]"
"3";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.1986086956521739, 0.1666521739130435, 0.18160869565217388]"
"4";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]";"toxic";"sug";"[0.17563636363636367, 0.11593939393939394, 0.15993939393939394]"
"5";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]";"non_toxic";"sug";"[0.13703125, 0.086, 0.12153125]"
"6";"1080184926065049600_test";"AGAINST";"Bernie Sanders";"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]";"non_toxic";"sta";"[0.09084848484848483, 0.112, 0.10054545454545455]"
"7";"N/A_test";"AGAINST";"Bernie Sanders";"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"oth";"[0.24107692307692305, 0.16592307692307692, 0.22946153846153847]"
"8";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.1986086956521739, 0.1666521739130435, 0.18160869565217388]"
"9";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]";"toxic";"sug";"[0.17563636363636367, 0.11593939393939394, 0.15993939393939394]"
"10";"1189036629572194304_test";"AGAINST";"Bernie Sanders";"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]";"non_toxic";"exp";"[0.22781250000000003, 0.1266875, 0.1715625]"
"11";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.06271794871794871, 0.053076923076923084, 0.05671794871794871]"
"12";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]";"toxic";"exp";"[0.19035000000000002, 0.1463, 0.18935]"
"13";"1133464647468703744_test";"FAVOR";"Bernie Sanders";"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]";"non_toxic";"exp";"[0.17423809523809525, 0.09652380952380953, 0.15323809523809523]"
"14";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0]";"non_toxic";"exp";"[0.09112820512820513, 0.058025641025641034, 0.0777948717948718]"
"15";"1111232137414561798_test";"AGAINST";"Bernie Sanders";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]";"non_toxic";"sta";"[0.09183870967741935, 0.040999999999999995, 0.0727741935483871]"
"16";"N/A_test";"AGAINST";"Bernie Sanders";"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.11627272727272726, 0.11445454545454545, 0.1368181818181818]"
"17";"1133574522521694209_test";"FAVOR";"Bernie Sanders";"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]";"non_toxic";"sta";"[0.030166666666666665, 0.012958333333333334, 0.025458333333333333]"
"18";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.10241666666666666, 0.07563888888888888, 0.0951111111111111]"
"19";"1248643052304023552_test";"FAVOR";"Bernie Sanders";"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]";"non_toxic";"exp";"[0.11113333333333333, 0.07226666666666667, 0.07953333333333333]"
"20";"N/A_test";"AGAINST";"Bernie Sanders";"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.1630740740740741, 0.11533333333333333, 0.14948148148148147]"
"21";"N/A_test";"FAVOR";"Bernie Sanders";"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]";"non_toxic";"sta";"[0.151, 0.08892499999999999, 0.11599999999999999]"
"22";"N/A_test";"FAVOR";"Bernie Sanders";"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]";"toxic";"exp";"[0.11208, 0.0698, 0.07852]"
"23";"1223002105444806656_test";"FAVOR";"Bernie Sanders";"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]";"non_toxic";"exp";"[0.2923214285714285, 0.21342857142857147, 0.25207142857142856]"
"24";"1099788074697973760_test";"FAVOR";"Bernie Sanders";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.12263157894736842, 0.11752631578947369, 0.10536842105263157]"
"25";"N/A_test";"AGAINST";"Bernie Sanders";"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]";"non_toxic";"oth";"[0.17615, 0.1139, 0.10570000000000002]"
"26";"1133919375092617216_test";"FAVOR";"Bernie Sanders";"[0, 0, 0, 0, 0, 1, 0, 1, 0, 1]";"non_toxic";"sta";"[0.1691086956521739, 0.11410869565217392, 0.11995652173913043]"
