"";"tweetid";"stance";"topic";"moral";"toxic";"act";"vad"
"0";"N/A_test";"FAVOR";"Joe Biden";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]";"non_toxic";"sta";"[0.05188461538461538, 0.03692307692307692, 0.041576923076923074]"
"1";"1263654799347777536_test";"FAVOR";"Joe Biden";"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.2147391304347826, 0.16130434782608696, 0.16560869565217393]"
"2";"1268232371305877505_test";"FAVOR";"Joe Biden";"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0]";"non_toxic";"sta";"[0.10488888888888888, 0.09861111111111111, 0.11377777777777778]"
"3";"N/A_test";"FAVOR";"Joe Biden";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.12717647058823528, 0.0911764705882353, 0.10935294117647058]"
"4";"1273823696306802695_test";"FAVOR";"Joe Biden";"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0]";"non_toxic";"exp";"[0.25271428571428567, 0.12985714285714284, 0.19057142857142856]"
"5";"N/A_test";"FAVOR";"Joe Biden";"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]";"non_toxic";"sug";"[0.23323076923076924, 0.16646153846153847, 0.2328461538461538]"
"6";"1212121611819720705_test";"FAVOR";"Joe Biden";"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]";"non_toxic";"sta";"[0.13824999999999998, 0.09359999999999999, 0.11695]"
"7";"N/A_test";"FAVOR";"Joe Biden";"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.25773684210526315, 0.11410526315789475, 0.16315789473684209]"
"8";"1184321611895377921_test";"FAVOR";"Joe Biden";"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]";"non_toxic";"sta";"[0.04827272727272727, 0.03145454545454545, 0.038454545454545457]"
"9";"N/A_test";"AGAINST";"Joe Biden";"[0, 0, 0, 0, 0, 1, 0, 1, 0, 1]";"non_toxic";"exp";"[0.17178048780487806, 0.13517073170731708, 0.16207317073170732]"
"10";"N/A_test";"FAVOR";"Joe Biden";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.16437837837837835, 0.09508108108108107, 0.1339189189189189]"
"11";"1259260778395377669_test";"FAVOR";"Joe Biden";"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.15333333333333332, 0.11753333333333332, 0.11813333333333335]"
"12";"1159162289867694080_test";"FAVOR";"Joe Biden";"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]";"toxic";"exp";"[0.10778571428571429, 0.10242857142857144, 0.08678571428571427]"
"13";"1272201535024398337_test";"FAVOR";"Joe Biden";"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]";"non_toxic";"sta";"[0.10133333333333333, 0.11973333333333333, 0.10693333333333334]"
"14";"N/A_test";"FAVOR";"Joe Biden";"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]";"non_toxic";"exp";"[0.14135, 0.08205, 0.12675]"
"15";"N/A_test";"FAVOR";"Joe Biden";"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]";"non_toxic";"exp";"[0.17131250000000003, 0.11596875, 0.14809375]"
"16";"1127337616444203011_test";"FAVOR";"Joe Biden";"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.18158333333333335, 0.14154166666666665, 0.158625]"
"17";"N/A_test";"FAVOR";"Joe Biden";"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.34640000000000004, 0.1857333333333333, 0.22706666666666664]"
"18";"1259188939191209988_test";"FAVOR";"Joe Biden";"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.20014285714285712, 0.13299999999999998, 0.1800714285714286]"
"19";"N/A_test";"FAVOR";"Joe Biden";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.12104761904761904, 0.10004761904761905, 0.10076190476190476]"
"20";"N/A_test";"FAVOR";"Joe Biden";"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0]";"non_toxic";"sta";"[0.011142857142857144, 0.02557142857142857, 0.006214285714285714]"
"21";"1043582083732525056_test";"FAVOR";"Joe Biden";"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]";"toxic";"oth";"[0, 0, 0]"
"22";"1190754188021682177_test";"FAVOR";"Joe Biden";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.23437837837837835, 0.14291891891891892, 0.19543243243243244]"
"23";"1267163423508488193_test";"FAVOR";"Joe Biden";"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.19846666666666668, 0.1484, 0.1898]"
"24";"1258083207163064322_test";"FAVOR";"Joe Biden";"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.1637222222222222, 0.09327777777777778, 0.1375]"
"25";"1262100923222052864_test";"FAVOR";"Joe Biden";"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]";"non_toxic";"sug";"[0, 0, 0]"
"26";"1181717038248550400_test";"FAVOR";"Joe Biden";"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.07056666666666667, 0.037200000000000004, 0.05383333333333334]"
"27";"1239388043074732032_test";"FAVOR";"Joe Biden";"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]";"non_toxic";"sta";"[0.2849285714285715, 0.24071428571428571, 0.24771428571428572]"
"28";"N/A_test";"FAVOR";"Joe Biden";"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1]";"non_toxic";"sta";"[0.13331707317073171, 0.08546341463414635, 0.09965853658536585]"
"29";"1183554489199939584_test";"FAVOR";"Joe Biden";"[0, 1, 0, 1, 1, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.23015000000000002, 0.18445, 0.20865]"
"30";"1202657700238282754_test";"FAVOR";"Joe Biden";"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.19164285714285714, 0.1369761904761905, 0.17842857142857144]"
"31";"1189340186968252417_test";"FAVOR";"Joe Biden";"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]";"non_toxic";"sta";"[0.092375, 0.06291666666666666, 0.09129166666666666]"
"32";"N/A_test";"FAVOR";"Joe Biden";"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]";"non_toxic";"exp";"[0.23261904761904761, 0.14404761904761906, 0.20623809523809525]"
"33";"N/A_test";"FAVOR";"Joe Biden";"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.12266666666666665, 0.07633333333333332, 0.10333333333333335]"
"34";"1258974449623109632_test";"FAVOR";"Joe Biden";"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.043111111111111114, 0.023444444444444445, 0.025222222222222222]"
"35";"N/A_test";"FAVOR";"Joe Biden";"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]";"toxic";"sta";"[0.10167567567567568, 0.07694594594594596, 0.08648648648648649]"
"36";"N/A_test";"FAVOR";"Joe Biden";"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.1456785714285714, 0.1072142857142857, 0.1327142857142857]"
"37";"N/A_test";"FAVOR";"Joe Biden";"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]";"non_toxic";"exp";"[0.10441176470588236, 0.0738529411764706, 0.09744117647058823]"
"38";"1266765009281069056_test";"FAVOR";"Joe Biden";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.09073333333333335, 0.07013333333333334, 0.10413333333333333]"
"39";"N/A_test";"FAVOR";"Joe Biden";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]";"non_toxic";"sta";"[0.212, 0.11792857142857141, 0.17332142857142857]"
"40";"N/A_test";"FAVOR";"Joe Biden";"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0]";"non_toxic";"sta";"[0.0520625, 0.021625, 0.037125]"
"41";"N/A_test";"FAVOR";"Joe Biden";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.225175, 0.176075, 0.2163]"
"42";"N/A_test";"FAVOR";"Joe Biden";"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]";"non_toxic";"sta";"[0.24467999999999995, 0.16288, 0.20484]"
"43";"N/A_test";"FAVOR";"Joe Biden";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.11622222222222223, 0.09777777777777778, 0.12211111111111111]"
"44";"N/A_test";"FAVOR";"Joe Biden";"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]";"non_toxic";"exp";"[0.13208333333333333, 0.10583333333333332, 0.11947222222222223]"
"45";"N/A_test";"FAVOR";"Joe Biden";"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]";"toxic";"exp";"[0.24606250000000002, 0.24975000000000003, 0.24625]"
"46";"N/A_test";"FAVOR";"Joe Biden";"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.20980952380952383, 0.1728095238095238, 0.2334761904761905]"
"47";"1197721165889986560_test";"FAVOR";"Joe Biden";"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]";"non_toxic";"sta";"[0.25823809523809527, 0.19052380952380954, 0.23538095238095236]"
"48";"N/A_test";"FAVOR";"Joe Biden";"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.11421875, 0.11459375, 0.13953125]"
"49";"N/A_test";"FAVOR";"Joe Biden";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.20671875, 0.1345625, 0.18125000000000002]"
"50";"N/A_test";"FAVOR";"Joe Biden";"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]";"non_toxic";"sta";"[0.1702758620689655, 0.14175862068965517, 0.15206896551724136]"
"51";"N/A_test";"AGAINST";"Joe Biden";"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]";"toxic";"sta";"[0.0047692307692307695, 0.06969230769230769, 0.04392307692307692]"
"52";"N/A_test";"AGAINST";"Joe Biden";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 1]";"non_toxic";"sta";"[0.14726666666666668, 0.0948, 0.1204]"
"53";"N/A_test";"AGAINST";"Joe Biden";"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]";"toxic";"sta";"[0.0342, 0.09944000000000001, 0.053680000000000005]"
"54";"N/A_test";"AGAINST";"Joe Biden";"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]";"non_toxic";"sta";"[0.10807407407407409, 0.06396296296296296, 0.10518518518518517]"
"55";"N/A_test";"AGAINST";"Joe Biden";"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]";"non_toxic";"sta";"[0.12066666666666666, 0.09557777777777778, 0.11500000000000002]"
"56";"N/A_test";"AGAINST";"Joe Biden";"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]";"toxic";"exp";"[0.18705000000000002, 0.1849, 0.17514999999999997]"
"57";"N/A_test";"AGAINST";"Joe Biden";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"toxic";"exp";"[0.14147619047619048, 0.11719047619047618, 0.11650000000000002]"
"58";"N/A_test";"AGAINST";"Joe Biden";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 1]";"toxic";"exp";"[0, 0, 0]"
