"";"tweetid";"stance";"topic";"moral";"toxic";"act";"vad"
"0";"1240088042892713985_test";"AGAINST";"Donald Trump";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]";"non_toxic";"exp";"[0.18657142857142858, 0.15814285714285714, 0.150047619047619]"
"1";"N/A_test";"AGAINST";"Donald Trump";"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.05523076923076923, 0.03812820512820513, 0.052820512820512824]"
"2";"1068557122022137856_test";"AGAINST";"Donald Trump";"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]";"non_toxic";"sta";"[0.32982352941176474, 0.18423529411764705, 0.2545294117647059]"
"3";"N/A_test";"AGAINST";"Donald Trump";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]";"non_toxic";"sta";"[0.1638125, 0.1209375, 0.14334375]"
"4";"1035231670826409986_test";"AGAINST";"Donald Trump";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.15063636363636365, 0.09854545454545455, 0.11354545454545456]"
"5";"N/A_test";"AGAINST";"Donald Trump";"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.11349999999999999, 0.09249999999999997, 0.11511111111111111]"
"6";"1068553937689677829_test";"AGAINST";"Donald Trump";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.1157857142857143, 0.0555, 0.076]"
"7";"N/A_test";"AGAINST";"Donald Trump";"[0, 0, 0, 1, 0, 1, 0, 1, 0, 0]";"toxic";"exp";"[0.2026388888888889, 0.20144444444444445, 0.20263888888888892]"
"8";"1079393448724115457_test";"AGAINST";"Donald Trump";"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]";"toxic";"oth";"[0.07058823529411765, 0.10670588235294118, 0.07805882352941176]"
"9";"N/A_test";"AGAINST";"Donald Trump";"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]";"toxic";"sta";"[0.15962162162162163, 0.13424324324324327, 0.15802702702702703]"
"10";"1079824124942434305_test";"AGAINST";"Donald Trump";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 1]";"toxic";"oth";"[0.21488461538461537, 0.2904615384615385, 0.26080769230769224]"
"11";"N/A_test";"AGAINST";"Donald Trump";"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]";"non_toxic";"sta";"[0.20219512195121953, 0.16914634146341462, 0.17017073170731709]"
"12";"N/A_test";"AGAINST";"Donald Trump";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]";"toxic";"sta";"[0.2951481481481481, 0.2134814814814815, 0.2817777777777778]"
"13";"1262009209622794245_test";"AGAINST";"Donald Trump";"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.12033333333333333, 0.065, 0.12061111111111113]"
"14";"1199632541499543552_test";"AGAINST";"Donald Trump";"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]";"toxic";"sta";"[0.10818181818181817, 0.12445454545454546, 0.11945454545454547]"
"15";"N/A_test";"AGAINST";"Donald Trump";"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"que";"[0.04141176470588235, 0.03923529411764706, 0.050470588235294114]"
"16";"N/A_test";"AGAINST";"Donald Trump";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.18264999999999998, 0.1614, 0.1756]"
"17";"N/A_test";"AGAINST";"Donald Trump";"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]";"toxic";"exp";"[0.114, 0.13412121212121209, 0.14593939393939392]"
"18";"N/A_test";"AGAINST";"Donald Trump";"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0]";"non_toxic";"oth";"[0.14200000000000002, 0.12377272727272728, 0.13254545454545455]"
"19";"1272148894038843400_test";"AGAINST";"Donald Trump";"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]";"non_toxic";"sta";"[0.19816666666666669, 0.09749999999999999, 0.13933333333333334]"
"20";"1262843657503334400_test";"AGAINST";"Donald Trump";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0, 0, 0]"
"21";"N/A_test";"AGAINST";"Donald Trump";"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0]";"non_toxic";"exp";"[0.1315, 0.17084615384615384, 0.16488461538461538]"
"22";"1261007794448338951_test";"AGAINST";"Donald Trump";"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]";"toxic";"sta";"[0.03773913043478261, 0.05234782608695652, 0.04539130434782609]"
"23";"N/A_test";"AGAINST";"Donald Trump";"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]";"toxic";"oth";"[0.0375, 0.05775, 0.0438]"
"24";"N/A_test";"AGAINST";"Donald Trump";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.1089, 0.10885, 0.13130000000000003]"
"25";"N/A_test";"AGAINST";"Donald Trump";"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.23762499999999998, 0.167125, 0.22335]"
"26";"N/A_test";"AGAINST";"Donald Trump";"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]";"non_toxic";"sta";"[0, 0, 0]"
"27";"N/A_test";"AGAINST";"Donald Trump";"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]";"non_toxic";"sta";"[0.15952631578947365, 0.11373684210526316, 0.13226315789473683]"
"28";"N/A_test";"AGAINST";"Donald Trump";"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]";"toxic";"sta";"[0.16148387096774192, 0.08674193548387096, 0.13393548387096774]"
"29";"N/A_test";"AGAINST";"Donald Trump";"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]";"non_toxic";"exp";"[0.07042857142857144, 0.04966666666666667, 0.07180952380952381]"
"30";"1272368987670671362_test";"AGAINST";"Donald Trump";"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]";"toxic";"sta";"[0.058875000000000004, 0.05425, 0.04808333333333333]"
"31";"N/A_test";"AGAINST";"Donald Trump";"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]";"non_toxic";"sta";"[0.09745238095238096, 0.07114285714285715, 0.08885714285714286]"
"32";"968912802881658880_test";"FAVOR";"Donald Trump";"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]";"non_toxic";"sta";"[0.04878947368421053, 0.015105263157894736, 0.02268421052631579]"
"33";"N/A_test";"AGAINST";"Donald Trump";"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]";"toxic";"sta";"[0.05977142857142857, 0.08854285714285715, 0.06971428571428571]"
"34";"N/A_test";"AGAINST";"Donald Trump";"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]";"toxic";"oth";"[0.1156153846153846, 0.09380769230769231, 0.10396153846153845]"
